cohesion,separation,alignment_variance,clusters,isolated,connected
2.9678029344653485e-07,18771.938882238494,332.2953845995915,27,0,100
2.979319533113091e-07,18779.4492459697,202.15166056014792,27,0,100
2.994591277742581e-07,18733.946809914632,115.88321699164192,27,0,100
3.0115397644459774e-07,18740.443742744294,122.23177664204782,27,0,100
3.029562193461777e-07,18703.683084260196,126.53104446279232,26,0,100
3.05581992359004e-07,18641.34074820634,139.92365145673693,25,0,100
3.0874660341838157e-07,18574.269566457384,314.8556526850826,25,0,100
3.1228182844909613e-07,18595.730302164695,357.3530547824933,24,0,100
3.1620754038759674e-07,18550.15088842383,290.2778474938658,24,0,100
3.204144974538288e-07,18569.28361258243,321.0067948395716,24,0,100
3.2482723743806793e-07,18599.030120490086,348.84651348627796,24,0,100
3.294113772639421e-07,18600.66267326575,366.5334122503658,24,0,100
3.3411570621809057e-07,18598.69926893158,382.30022574345685,24,0,100
3.389095098605477e-07,18548.112184251335,395.2169558318556,23,0,100
3.4376453437135135e-07,18551.057554255636,393.28197215309257,23,0,100
3.486912616369988e-07,18497.371555308124,389.8941481121705,22,0,100
3.534713370445041e-07,18441.618995091663,480.49249736768377,20,0,100
3.581420409737416e-07,18439.25110956582,478.7918040295234,20,0,100
3.629783815376652e-07,18414.25623444234,592.2874639244004,19,0,100
3.677298769782885e-07,18345.816652041172,347.50060945078326,19,0,100
3.7250851879817314e-07,18293.553322838226,464.3157801288811,19,0,100
3.770756973285351e-07,18233.602911987156,566.3799007546293,19,0,100
3.815869676520798e-07,18196.69557136812,827.4586647793242,19,0,100
3.862262060860719e-07,18119.7364897892,617.8855347066237,18,0,100
3.9075749933858307e-07,18046.420279094702,572.9484506772059,18,0,100
3.948902376441732e-07,18007.652027919237,660.7121393867951,18,0,100
3.995223765317593e-07,17927.97222116223,311.8497904070413,18,0,100
3.788260428075272e-07,18264.14318392932,521.4297870239992,18,0,100
3.82845919854849e-07,17464.555572980447,437.9437383885991,18,0,100
3.626664221969661e-07,17933.489729865036,456.5234664325992,19,0,100
3.2586435000648693e-07,17991.881650120882,770.2432447657789,20,0,100
3.2771888202569987e-07,16395.21495258874,552.2929406061954,20,0,100
2.681500035592397e-07,17658.538855875297,670.5388788093835,21,0,100
2.272119165546798e-07,16248.826050681047,1234.2894197851695,22,0,100
1.7855611963685864e-07,17465.033282323482,1357.993961751626,18,0,100
1.7371269117675183e-07,14650.387240597005,909.5416713351085,18,0,100
1.3783130487069328e-07,14674.625213030227,633.0908587787202,17,0,100
1.302097197633824e-07,14817.173947240894,491.372694797199,16,0,100
1.1302114385532302e-07,14897.367591455144,610.0427113169184,18,0,100
9.780824385711115e-08,13682.501914415552,632.3253955376974,18,0,100
